,101,103,105,107,819,109,111,113,825,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173
Gilroy,6:1:00,7:31:00
San Martin,6:13:00,7:43:00
Morgan Hill,6:19:00,7:49:00
Blossom Hill,6:32:00,8:2:00
Capitol,6:38:00,8:8:00
San Jose Diridon,4:43:00,5:8:00,5:58:00,6:28:00,6:49:00,6:58:00,7:28:00,7:53:00,8:19:00,8:28:00,8:58:00,9:28:00,9:58:00,10:28:00,10:58:00,11:28:00,11:58:00,24:28:00,24:58:00,13:28:00,13:58:00,14:28:00,14:53:00,15:28:00,15:58:00,16:28:00,16:58:00,17:28:00,17:58:00,18:28:00,18:58:00,19:28:00,19:58:00,20:28:00,20:58:00,21:28:00,21:58:00,22:30:00,23:30:00
College Park,,,,,,,8:1:00,,,,,,,,,,,,,,15:1:00,,,,,,,,,,,,,,,,
Santa Clara,4:49:00,5:14:00,6:4:00,6:34:00,7:4:00,7:34:00,8:4:00,8:34:00,9:4:00,9:34:00,10:4:00,10:34:00,11:4:00,11:34:00,24:4:00,24:34:00,13:4:00,13:34:00,14:4:00,14:34:00,15:4:00,15:34:00,16:4:00,16:34:00,17:4:00,17:34:00,18:4:00,18:34:00,19:4:00,19:34:00,20:4:00,20:34:00,21:4:00,21:34:00,22:4:00,22:36:00,23:36:00
Hillsdale,5:27:00,5:52:00,6:42:00,7:12:00,7:42:00,8:12:00,8:43:00,9:12:00,9:42:00,10:12:00,10:42:00,11:12:00,11:42:00,24:12:00,24:42:00,13:12:00,13:42:00,14:12:00,14:42:00,15:12:00,15:43:00,16:12:00,16:42:00,17:12:00,17:42:00,18:12:00,18:42:00,19:12:00,19:42:00,20:12:00,20:42:00,21:12:00,21:42:00,22:12:00,22:42:00,23:14:00,12:14:00
Hayward Park,5:30:00,5:55:00,6:45:00,7:15:00,7:45:00,8:15:00,8:45:00,9:15:00,9:45:00,10:15:00,10:45:00,11:15:00,11:45:00,24:15:00,24:45:00,13:15:00,13:45:00,14:15:00,14:45:00,15:15:00,15:45:00,16:15:00,16:45:00,17:15:00,17:45:00,18:15:00,18:45:00,19:15:00,19:45:00,20:15:00,20:45:00,21:15:00,21:45:00,22:15:00,22:45:00,23:17:00,12:17:00
San Mateo,5:32:00,5:57:00,6:47:00,7:17:00,7:47:00,8:17:00,8:47:00,9:17:00,9:47:00,10:17:00,10:47:00,11:17:00,11:47:00,24:17:00,24:47:00,13:17:00,13:47:00,14:17:00,14:47:00,15:17:00,15:47:00,16:17:00,16:47:00,17:17:00,17:47:00,18:17:00,18:47:00,19:17:00,19:47:00,20:17:00,20:47:00,21:17:00,21:47:00,22:17:00,22:47:00,23:19:00,12:19:00
Burlingame,5:35:00,6:0:00,6:50:00,7:20:00,7:50:00,8:20:00,8:50:00,9:20:00,9:50:00,10:20:00,10:50:00,11:20:00,11:50:00,24:20:00,24:50:00,13:20:00,13:50:00,14:20:00,14:50:00,15:20:00,15:50:00,16:20:00,16:50:00,17:20:00,17:50:00,18:20:00,18:50:00,19:20:00,19:50:00,20:20:00,20:50:00,21:20:00,21:50:00,22:20:00,22:50:00,23:22:00,12:22:00
Millbrae,5:39:00,6:4:00,6:54:00,7:24:00,7:54:00,8:24:00,8:54:00,9:24:00,9:54:00,10:24:00,10:54:00,11:24:00,11:54:00,24:24:00,24:54:00,13:24:00,13:54:00,14:24:00,14:54:00,15:24:00,15:54:00,16:24:00,16:54:00,17:24:00,17:54:00,18:24:00,18:54:00,19:24:00,19:54:00,20:24:00,20:54:00,21:24:00,21:54:00,22:24:00,22:54:00,23:26:00,12:26:00
San Bruno,5:42:00,6:7:00,6:57:00,7:27:00,7:57:00,8:27:00,8:57:00,9:27:00,9:57:00,10:27:00,10:57:00,11:27:00,11:57:00,24:27:00,24:57:00,13:27:00,13:57:00,14:27:00,14:57:00,15:27:00,15:57:00,16:27:00,16:57:00,17:27:00,17:57:00,18:27:00,18:57:00,19:27:00,19:57:00,20:27:00,20:57:00,21:27:00,21:57:00,22:27:00,22:57:00,23:29:00,12:29:00
So San Francisco,5:45:00,6:10:00,7:0:00,7:30:00,8:0:00,8:30:00,9:0:00,9:30:00,10:0:00,10:30:00,11:0:00,11:30:00,24:0:00,24:30:00,13:0:00,13:30:00,14:0:00,14:30:00,15:0:00,15:30:00,16:0:00,16:30:00,17:0:00,17:30:00,18:0:00,18:30:00,19:0:00,19:30:00,20:0:00,20:30:00,21:0:00,21:30:00,22:0:00,22:30:00,23:0:00,23:32:00,12:32:00
Bayshore,5:50:00,6:15:00,7:5:00,7:35:00,8:5:00,8:35:00,9:5:00,9:35:00,10:5:00,10:35:00,11:5:00,11:35:00,24:5:00,24:35:00,13:5:00,13:35:00,14:5:00,14:35:00,15:5:00,15:35:00,16:5:00,16:35:00,17:5:00,17:35:00,18:5:00,18:35:00,19:5:00,19:35:00,20:5:00,20:35:00,21:5:00,21:35:00,22:5:00,22:35:00,23:5:00,23:37:00,12:37:00
22nd Street,5:55:00,6:20:00,7:10:00,7:40:00,8:10:00,8:40:00,9:10:00,9:40:00,10:10:00,10:40:00,11:10:00,11:40:00,24:10:00,24:40:00,13:10:00,13:40:00,14:10:00,14:40:00,15:10:00,15:40:00,16:10:00,16:40:00,17:10:00,17:40:00,18:10:00,18:40:00,19:10:00,19:40:00,20:10:00,20:40:00,21:10:00,21:40:00,22:10:00,22:40:00,23:10:00,23:42:00,12:42:00
San Francisco,6:1:00,6:26:00,7:16:00,7:46:00,8:16:00,8:46:00,9:16:00,9:46:00,10:16:00,10:46:00,11:16:00,11:46:00,24:16:00,24:46:00,13:16:00,13:46:00,14:16:00,14:46:00,15:16:00,15:46:00,16:16:00,16:46:00,17:16:00,17:46:00,18:16:00,18:46:00,19:16:00,19:46:00,20:16:00,20:46:00,21:16:00,21:46:00,22:16:00,22:46:00,23:16:00,23:48:00,12:48:00
