,148,150,520,152,522,154,524,156,526,158,528,160,530,162,532,164,534,166,536,168,538,170,540,172,542,174,544,176,546,178,548,180,182,184
Sunnyvale,6:18:00,6:44:00,7:12:00,7:44:00,8:12:00,8:44:00,9:12:00,9:44:00,10:12:00,10:44:00,11:12:00,11:44:00,12:12:00,12:44:00,13:12:00,13:44:00,14:12:00,14:44:00,15:12:00,15:44:00,16:12:00,16:44:00,17:12:00,17:44:00,18:12:00,18:44:00,19:12:00,19:44:00,20:12:00,20:44:00,21:12:00,21:44:00,22:18:00,22:44:00
Lawrence,6:23:00,6:49:00,,7:49:00,,8:49:00,,9:49:00,,10:49:00,,11:49:00,,12:49:00,,13:49:00,,14:49:00,,15:49:00,,16:49:00,,17:49:00,,18:49:00,,19:49:00,,20:49:00,,21:49:00,22:23:00,22:49:00
Santa Clara,6:29:00,6:55:00,7:19:00,7:55:00,8:19:00,8:55:00,9:19:00,9:55:00,10:19:00,10:55:00,11:19:00,11:55:00,12:19:00,12:55:00,13:19:00,13:55:00,14:19:00,14:55:00,15:19:00,15:55:00,16:19:00,16:55:00,17:19:00,17:55:00,18:19:00,18:55:00,19:19:00,19:55:00,20:19:00,20:55:00,21:19:00,21:55:00,22:29:00,22:55:00
College Park,,,,7:58:00,,,,,,,,,,,,,,,,,16:23:00,,,,,,,,,,,,,
San Jose Diridon,6:35:00,7:05:00,7:26:00,8:06:00,8:26:00,9:05:00,9:26:00,10:05:00,10:26:00,11:05:00,11:26:00,12:05:00,12:26:00,13:05:00,13:26:00,14:05:00,14:26:00,15:05:00,15:26:00,16:05:00,16:29:00,17:05:00,17:26:00,18:05:00,18:28:00,19:05:00,19:26:00,20:05:00,20:26:00,21:05:00,21:26:00,22:03:00,22:35:00,23:03:00
Tamien,,7:10:00,,8:11:00,,9:10:00,,10:10:00,,11:10:00,,12:10:00,,13:10:00,,14:10:00,,15:10:00,,16:10:00,16:35:00,17:10:00,,18:11:00,18:34:00,19:10:00,,20:10:00,,21:10:00,,22:08:00,,23:08:00
Capitol,,,,,,,,,,,,,,,,,,,,,4:42:00,,,18:18:00,18:41:00,,,,,,,,,
Blossom Hill,,,,,,,,,,,,,,,,,,,,,16:48:00,,,18:24:00,18:47:00,,,,,,,,,
Morgan Hill,,,,,,,,,,,,,,,,,,,,,17:01:00,,,18:37:00,19:00:00,,,,,,,,,
San Martin,,,,,,,,,,,,,,,,,,,,,17:07:00,,,18:43:00,19:06:00,,,,,,,,,
Gilroy,,,,,,,,,,,,,,,,,,,,,17:20:00,,,18:56:00,19:19:00,,,,,,,,,
